Bandwidth: 100 Mbit/s
RTT: 1000 ms
BDP: 12500000 B/s
Max In-Flight Packets: 9765
[client_side_proxy] starting proxy with pid 1006970, port 18081, cc cubic
[server] starting server with pid 1006969, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 2.005641 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:34219
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 4.013416 s
[client] second 0.100117: 3041430.814925 bit/s, bytes received: 38062 B, packets received: 47
[client] second 0.200751: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.301702: 77898.959661 bit/s, bytes received: 983 B, packets received: 2
[client] second 0.402300: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.502747: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.603134: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[server][session 0] migrated to 10.0.0.102:45613
[client] second 0.703486: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.803702: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.903900: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.004362: 977094.052609 bit/s, bytes received: 12270 B, packets received: 10
[client] second 1.105194: 681447.231194 bit/s, bytes received: 8589 B, packets received: 7
[client] second 1.205789: 643056.194948 bit/s, bytes received: 8086 B, packets received: 7
[client] second 1.306873: 776853.977628 bit/s, bytes received: 9816 B, packets received: 8
[client] second 1.407825: 680641.423513 bit/s, bytes received: 8589 B, packets received: 7
[client] second 1.508317: 683753.559861 bit/s, bytes received: 8589 B, packets received: 7
[client] second 1.609209: 486463.084311 bit/s, bytes received: 6135 B, packets received: 5
[client] second 1.709601: 391106.206612 bit/s, bytes received: 4908 B, packets received: 4
[client] second 1.809795: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.910360: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.010965: 975133.799850 bit/s, bytes received: 12263 B, packets received: 10
[client] second 2.111800: 876121.807112 bit/s, bytes received: 11043 B, packets received: 9
[client] second 2.212268: 920101.295946 bit/s, bytes received: 11555 B, packets received: 10
[client] second 2.312460: 979710.794284 bit/s, bytes received: 12270 B, packets received: 10
[client] second 2.413718: 1163285.404300 bit/s, bytes received: 14724 B, packets received: 12
[client] second 2.514144: 1172292.003033 bit/s, bytes received: 14716 B, packets received: 12
[client] second 2.614387: 1313928.900298 bit/s, bytes received: 16464 B, packets received: 14
[client] second 2.715240: 1265284.629500 bit/s, bytes received: 15951 B, packets received: 13
[client] second 2.816185: 1361387.157460 bit/s, bytes received: 17178 B, packets received: 14
[client] second 2.917498: 678208.094699 bit/s, bytes received: 8589 B, packets received: 7
[client] second 3.018426: 1167091.630485 bit/s, bytes received: 14724 B, packets received: 12
[client] second 3.119377: 1498547.138342 bit/s, bytes received: 18910 B, packets received: 16
[client] second 3.220366: 1651822.909802 bit/s, bytes received: 20852 B, packets received: 17
[client] second 3.320759: 1759972.670460 bit/s, bytes received: 22086 B, packets received: 18
[client] second 3.421455: 1892820.630656 bit/s, bytes received: 23825 B, packets received: 20
[client] second 3.521650: 2056794.064472 bit/s, bytes received: 25760 B, packets received: 21
[client] second 3.621788: 2197428.431138 bit/s, bytes received: 27506 B, packets received: 23
[client] second 3.721818: 2355155.756598 bit/s, bytes received: 29448 B, packets received: 24
[client] second 3.822486: 2535213.895113 bit/s, bytes received: 31902 B, packets received: 26
[client] second 3.923412: 2666019.172407 bit/s, bytes received: 33634 B, packets received: 28
[client] second 4.023844: 2736032.324181 bit/s, bytes received: 34348 B, packets received: 28
[client] second 4.124811: 2956617.725987 bit/s, bytes received: 37315 B, packets received: 31
[client] second 4.225521: 3159711.890071 bit/s, bytes received: 39777 B, packets received: 33
[client] second 4.326329: 3310057.975415 bit/s, bytes received: 41710 B, packets received: 34
[client] second 4.426776: 3656637.865560 bit/s, bytes received: 45912 B, packets received: 38
[client] second 4.527083: 3758914.983858 bit/s, bytes received: 47131 B, packets received: 39
