Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 878130, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 878131, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 4.004794 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:45861
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 8.062824 s
[client] second 0.100099: 3041967.039050 bit/s, bytes received: 38062 B, packets received: 49
[client] second 0.200808: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.300951: 78527.466999 bit/s, bytes received: 983 B, packets received: 1
[client] second 0.401538: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.502153: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.602454: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.703090: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.803716: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.904395: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.004628: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.105021: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.205604: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.306174: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[server][session 0] migrated to 10.0.0.102:57937
[client] second 1.406574: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.506949: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.607278: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.707669: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.807907: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 1.908497: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 2.008948: 977196.226119 bit/s, bytes received: 12270 B, packets received: 10
[client] second 2.109551: 292711.952483 bit/s, bytes received: 3681 B, packets received: 4
[client] second 2.209749: 391864.981196 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.309950: 391852.916395 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.410023: 352144.761955 bit/s, bytes received: 4405 B, packets received: 4
[client] second 2.510767: 292303.046752 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.611735: 388878.194562 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.711769: 294379.328157 bit/s, bytes received: 3681 B, packets received: 3
[client] second 2.812043: 391564.911548 bit/s, bytes received: 4908 B, packets received: 4
[client] second 2.912770: 389807.096417 bit/s, bytes received: 4908 B, packets received: 4
[client] second 3.014062: 290725.199735 bit/s, bytes received: 3681 B, packets received: 3
[client] second 3.114495: 390946.459034 bit/s, bytes received: 4908 B, packets received: 4
[client] second 3.214732: 97927.400879 bit/s, bytes received: 1227 B, packets received: 1
[client] second 3.314921: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.415707: 389576.537626 bit/s, bytes received: 4908 B, packets received: 4
[client] second 3.516048: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.616285: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.716494: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.816732: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 3.916971: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 4.017271: 977944.708736 bit/s, bytes received: 12261 B, packets received: 10
[client] second 4.117891: 390221.357299 bit/s, bytes received: 4908 B, packets received: 4
[client] second 4.218898: 485906.518061 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.319632: 430601.636038 bit/s, bytes received: 5422 B, packets received: 5
[client] second 4.420186: 488096.778493 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.520889: 487369.934266 bit/s, bytes received: 6135 B, packets received: 5
[client] second 4.621550: 486783.480794 bit/s, bytes received: 6125 B, packets received: 5
[client] second 4.721930: 586728.957273 bit/s, bytes received: 7362 B, packets received: 6
