Bandwidth: 100 Mbit/s
RTT: 500 ms
BDP: 6250000 B/s
Max In-Flight Packets: 4882
[server] starting server with pid 1109171, port 18080, cc cubic, iw 32
[server][session 0] open
[client] connection establishment time: 1.005911 s
[server][session 0][stream 0] open
[client] time to first byte: 1.507038 s
[client] second 0.100745: 1658774.323283 bit/s, bytes received: 20889 B, packets received: 25
[client] second 0.201548: 779025.477103 bit/s, bytes received: 9816 B, packets received: 8
[client] second 0.302321: 681844.845983 bit/s, bytes received: 8589 B, packets received: 7
[client] second 0.402853: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 0.502874: 981394.388062 bit/s, bytes received: 12270 B, packets received: 10
[client] second 0.603394: 1074178.675022 bit/s, bytes received: 13497 B, packets received: 11
[client] second 0.703782: 1308994.230167 bit/s, bytes received: 16426 B, packets received: 14
[client] second 0.804311: 1562297.508413 bit/s, bytes received: 19632 B, packets received: 16
[client] second 0.904962: 1462877.428636 bit/s, bytes received: 18405 B, packets received: 15
[client] second 1.005189: 1019202.852507 bit/s, bytes received: 12769 B, packets received: 11
[client] second 1.106172: 1944101.054040 bit/s, bytes received: 24540 B, packets received: 20
[client] second 1.206515: 2249946.977238 bit/s, bytes received: 28221 B, packets received: 23
[client] second 1.306897: 2680473.568129 bit/s, bytes received: 33634 B, packets received: 28
[client] second 1.407408: 3027502.962525 bit/s, bytes received: 38037 B, packets received: 31
[client] second 1.507762: 2974678.621210 bit/s, bytes received: 37315 B, packets received: 32
[client] second 1.608432: 3745848.394242 bit/s, bytes received: 47137 B, packets received: 38
[client] second 1.708844: 4243777.853813 bit/s, bytes received: 53266 B, packets received: 44
[client] second 1.809236: 4888288.175756 bit/s, bytes received: 61343 B, packets received: 50
[client] second 1.909696: 5650489.499952 bit/s, bytes received: 70956 B, packets received: 59
[client] second 2.010143: 6392243.101402 bit/s, bytes received: 80260 B, packets received: 66
[client] second 2.110743: 7065523.116573 bit/s, bytes received: 88849 B, packets received: 73
[client] second 2.211146: 8292285.226015 bit/s, bytes received: 104071 B, packets received: 87
[client] second 2.311512: 9331324.242554 bit/s, bytes received: 117069 B, packets received: 97
[client] second 2.412032: 1309757.382109 bit/s, bytes received: 16457 B, packets received: 16
[client] second 2.512406: 9175921.411606 bit/s, bytes received: 115128 B, packets received: 95
[client] second 2.613127: 7446822.832820 bit/s, bytes received: 93757 B, packets received: 78
[client] second 2.713496: 6102687.977401 bit/s, bytes received: 76565 B, packets received: 66
[client] second 2.813885: 17860224.444770 bit/s, bytes received: 224121 B, packets received: 184
[client] second 2.914518: 19043158.705030 bit/s, bytes received: 239546 B, packets received: 198
[client] second 3.014561: 18706457.051271 bit/s, bytes received: 233930 B, packets received: 193
[client] second 3.115430: 14327963.740751 bit/s, bytes received: 180657 B, packets received: 151
[client] second 3.215927: 0.000000 bit/s, bytes received: 0 B, packets received: 1
[client] second 3.316301: 17723588.296765 bit/s, bytes received: 222375 B, packets received: 185
[client] second 3.416850: 19783167.030861 bit/s, bytes received: 248647 B, packets received: 207
[client] second 3.516985: 36552914.918202 bit/s, bytes received: 457525 B, packets received: 377
[client] second 3.617175: 41373208.070480 bit/s, bytes received: 518153 B, packets received: 426
[client] second 3.717676: 42418089.066986 bit/s, bytes received: 532877 B, packets received: 440
[client] second 3.818172: 9359550.702560 bit/s, bytes received: 117575 B, packets received: 99
